product_code,category_code,brand_code,manufacturer_code,country_code,product_name,product_slug,product_type,short_description,rating_average,review_count,base_unit_code,price_status,source_name,source_url,source_note,is_demo_data,collected_at
P000001,CAT000003,,MFR000001,CTY000001,Gel bôi da Klenzit MS điều trị mụn trứng cá (15g),gel-boi-da-klenzit-ms-dieu-tri-mun-trung-ca-15g,MEDICINE,"Kem bôi Klenzit MS 15g là thuốc trị mụn do Công ty Glenmark Pharmaceuticals sản xuất, nhập khẩu trực tiếp từ Ấn Độ, với thành phần chính adapalen ở dạng hệ cung cấp thuốc vi xốp, được dùng để điều trị cho bệnh nhân bị bệnh trứng cá.Sản phẩm được bào chế dạng gel bôi ngoài da, tuýp 15 g tiện lợi. Trong quá trình sử dụng, cần lưu ý phân biệt hai loại Klenzit MS và Klenzit C. Kem trị mụn Klenzit MS chỉ chứa hoạt chất Adapalene ở dạng vi cầu giúp kiểm soát các hoạt chất thấm vào da, từ đó làm giảm c...",,,,CONTACT_REQUIRED,Nhà thuốc Long Châu,https://nhathuoclongchau.com.vn/thuoc/klenzit-15g-3330.html,Dữ liệu tham khảo phục vụ đồ án PharmaAssist,true,2026-05-24T17:44:40.439Z
P000002,CAT000005,,MFR000002,CTY000002,Viên sủi Berocca Bayer bổ sung vitamin và khoáng chất (10 viên),vien-sui-berocca-bayer-bo-sung-vitamin-va-khoang-chat-10-vien,MEDICINE,"Viên sủi Berocca Performance Orange là sản phẩm của PT Bayer Indonesia, thành phần chính là vitamin C, ngoài ra còn có các loại vitamin nhóm B, calci, magie, kẽm. Thuốc dùng trong trường hợp: Thiếu hụt và tăng nhu cầu vitamin C, các vitamin nhóm B và kẽm.",,,UNIT000001,AVAILABLE,Nhà thuốc Long Châu,https://nhathuoclongchau.com.vn/thuoc/berocca-1515.html,Dữ liệu tham khảo phục vụ đồ án PharmaAssist,true,2026-05-24T17:44:53.747Z
P000003,CAT000005,,MFR000003,CTY000003,Thuốc Farzincol Pharmedic điều trị thiếu kẽm (10 vỉ x 10 viên),thuoc-farzincol-pharmedic-dieu-tri-thieu-kem-10-vi-x-10-vien,MEDICINE,"Farzincol của công ty cổ phần dược phẩm dược liệu Pharmedic, thành phần chính kẽm gluconat 70 mg (tương đương 10 mg kẽm), là thuốc dùng để điều trị bổ sung kẽm vào chế độ ăn trong các trường hợp: Bệnh còi xương, chậm tăng trưởng ở trẻ em. Phụ nữ mang thai và bà mẹ đang cho con bú. Chế độ ăn thiếu cân bằng hoặc kiêng ăn. Nuôi ăn lâu dài qua đường tĩnh mạch. Tiêu chảy cấp và mãn tính. Điều trị thiếu kẽm: Thiếu kẽm nhẹ và vừa trong các trường hợp: Suy dinh dưỡng nhẹ và vừa. Rối loạn đường tiêu hóa:...",,,,CONTACT_REQUIRED,Nhà thuốc Long Châu,https://nhathuoclongchau.com.vn/thuoc/farzincol-10mg-3786.html,Dữ liệu tham khảo phục vụ đồ án PharmaAssist,true,2026-05-24T17:45:07.950Z
P000004,CAT000007,,MFR000004,CTY000004,"Viên sủi Efferalgan 500mg UPSA SAS giảm đau, hạ sốt (4 vỉ x 4 viên)",vien-sui-efferalgan-500mg-upsa-sas-giam-dau-ha-sot-4-vi-x-4-vien,MEDICINE,"Viên sủi Efferalgan 500mg dùng để điều trị các chứng đau và/hoặc sốt như đau đầu, tình trạng như cúm, đau răng, nhức mỏi cơ, đau bụng kinh. Đây là sản phẩm của Công ty UPSA SAS, thành phần chính paracetamol hay còn gọi là acetaminophen, có hai tác dụng chính là giảm đau và hạ sốt.",,,UNIT000003,AVAILABLE,Nhà thuốc Long Châu,https://nhathuoclongchau.com.vn/thuoc/efferalgan-500mg-1620.html,Dữ liệu tham khảo phục vụ đồ án PharmaAssist,true,2026-05-24T17:45:20.613Z
P000005,CAT000009,,MFR000005,CTY000003,"Thuốc Clorpheniramin 4 DHG điều trị viêm mũi dị ứng, chảy nước mũi (10 vỉ x 20 viên)",thuoc-clorpheniramin-4-dhg-dieu-tri-viem-mui-di-ung-chay-nuoc-mui-10-vi-x-20-vien,MEDICINE,"Thuốc Clorpheniramin 4 được sản xuất bởi Công ty Cổ phần Dược Hậu Giang, với thành phần chính Chlorpheniramine maleate, là thuốc dùng để điều trị viêm mũi dị ứng, chảy nước mũi, nghẹt mũi, sổ mũi. Thuốc còn được dùng để điều trị các triệu chứng dị ứng khác như mày đay, viêm da tiếp xúc, ngứa, dị ứng do thức ăn, côn trùng cắn đốt, viêm kết mạc dị ứng và phù Quincke.",,,UNIT000002,AVAILABLE,Nhà thuốc Long Châu,https://nhathuoclongchau.com.vn/thuoc/clorpheniramin-4-200v-4228.html,Dữ liệu tham khảo phục vụ đồ án PharmaAssist,true,2026-05-24T17:45:33.137Z
P000006,CAT000011,,MFR000006,CTY000004,"Thuốc bột pha hỗn dịch uống Smecta Ipsen hương cam & vani điều trị tiêu chảy, bảo vệ niêm mạc tiêu hoá (30 gói)",thuoc-bot-pha-hon-dich-uong-smecta-ipsen-huong-cam-and-vani-dieu-tri-tieu-chay-bao-ve-niem-mac-tieu-hoa-30-goi,MEDICINE,"Smecta Ipsen là sản phẩm của BEAUFOUR IPSEN INDUSTRIE, thành phần chính Diosmectite, là thuốc dùng để điều trị triệu chứng tiêu chảy cấp, tiêu chảy mạn tính và các chứng đau liên quan tới rối loạn chức năng ruột ở người lớn.",,,UNIT000005,AVAILABLE,Nhà thuốc Long Châu,https://nhathuoclongchau.com.vn/thuoc/smecta-2236.html,Dữ liệu tham khảo phục vụ đồ án PharmaAssist,true,2026-05-24T17:45:52.674Z
P000007,CAT000012,,MFR000007,CTY000003,"Viên nhai Kremil-S United điều trị đau dạ dày, giảm nóng rát dạ dày, ợ nóng, ợ chua (10 vỉ x 10 viên)",vien-nhai-kremil-s-united-dieu-tri-dau-da-day-giam-nong-rat-da-day-o-nong-o-chua-10-vi-x-10-vien,MEDICINE,"Thuốc Kremil-S là sản phẩm của United International Pharma, có thành phần chính là Aluminum Hydroxide; Magnesium Hydroxide; Simethicone làm giảm các triệu chứng như khó tiêu, ợ nóng, đầy hơi.",,,UNIT000002,AVAILABLE,Nhà thuốc Long Châu,https://nhathuoclongchau.com.vn/thuoc/kremils-s-3315.html,Dữ liệu tham khảo phục vụ đồ án PharmaAssist,true,2026-05-24T17:46:11.149Z
P000008,CAT000014,,MFR000005,CTY000003,"Thuốc Eugica MEGA We care điều trị ho đờm, cảm cúm, sổ mũi (10 vỉ x 10 viên)",thuoc-eugica-mega-we-care-dieu-tri-ho-dom-cam-cum-so-mui-10-vi-x-10-vien,MEDICINE,"Thuốc Eugica là sản phẩm của Dược phẩm Trường Tín, thành phần chính eucalyptol, tinh dầu gừng, menthol, tinh dầu tần, là thuốc dùng để điều trị các chứng ho, đau họng, sổ mũi, cảm cúm, làm loãng niêm dịch, làm dịu ho.",,,UNIT000002,AVAILABLE,Nhà thuốc Long Châu,https://nhathuoclongchau.com.vn/thuoc/eugica-vien-uong-dieu-tri-ho-cam-cum-490.html,Dữ liệu tham khảo phục vụ đồ án PharmaAssist,true,2026-05-24T17:46:24.501Z
P000009,CAT000015,,MFR000008,CTY000004,Kem Differin Galderma điều trị mụn trứng cá (30g),kem-differin-galderma-dieu-tri-mun-trung-ca-30g,MEDICINE,"Kem trị mụn Differin 0.1% từ thương hiệu Galderma, được sản xuất bởi Laboratoires Galderma- Pháp. Differin 0.1% thuộc nhóm thuốc điều trị bệnh da liễu, được sử dụng điều trị mụn trứng cá bao gồm mụn nhân, mụn li ti, mụn mủ ở các vị trí mặt, ngực, lưng.",,,,CONTACT_REQUIRED,Nhà thuốc Long Châu,https://nhathuoclongchau.com.vn/thuoc/differin-0130mg-17372.html,Dữ liệu tham khảo phục vụ đồ án PharmaAssist,true,2026-05-24T17:46:38.000Z
P000010,CAT000005,,MFR000009,CTY000003,"Thuốc 3B Agi-Neurin Agimexpharm điều trị các triệu chứng bệnh và các rối loạn do thiếu vitamin b1, b6, b12 (10 vỉ x 10 viên)",thuoc-3b-agi-neurin-agimexpharm-dieu-tri-cac-trieu-chung-benh-va-cac-roi-loan-do-thieu-vitamin-b1-b6-b12-10-vi-x-10-vien,MEDICINE,"Thuốc 3B Agi-Neurin dùng trong điều trị các triệu chứng bệnh do thiếu vitamin B1, B6, B12 do nhu cầu cơ thể tăng hoặc các tình trạng liên quan đến dinh dưỡng, đau nhức có nguồn gốc do thần kinh. Rối loạn thần kinh do nghiện rượu mãn tính.",,,,CONTACT_REQUIRED,Nhà thuốc Long Châu,https://nhathuoclongchau.com.vn/thuoc/3-b-agi-neurin-agimexpharm-10-x10.html,Dữ liệu tham khảo phục vụ đồ án PharmaAssist,true,2026-05-24T17:46:52.740Z
